age,pos,TS%,TRB%,3PAr,FTAr
21,PG,59.5,6.5,45.5,44.8
22,SF,52.1,7.6,44.5,21.1
21,SG,53.6,7,54.8,10.5
20,SF,50,7.5,45.1,22.7
22,PF,65.9,16.4,24.3,24.8
25,SG,50,8.9,28.5,21.1
24,C,71.2,12.5,5.1,47.2
43,SF,47,7.6,66.4,9.5
24,PF,56.5,12.3,29.3,18.3
26,C,59,16.6,21.5,31.2
21,C,54.2,15,18.6,25.6
27,SG,48.2,6.7,65,8.4
31,PG,51.2,5.6,18.2,32.1
24,PG,50.7,9,45.8,15.8
26,SG,47.8,10.1,55.2,28.4
31,PG,42.4,8.2,7.5,20.9
30,C,46.3,18.9,42.9,9.5
25,SG,38.9,7.4,34.1,38.6
31,SF,38.9,7,77.8,0
22,SG,47.2,5.4,47.4,26.3
25,SG,0,6.3,42.9,0
21,PF,56.7,10.9,38.3,25.5
23,SF,58.3,10.1,38.1,27.4
25,SG,51.8,6.3,57.9,22.3
29,PG,57.5,6.7,53.2,27.2
29,SF,59.5,10.7,31.7,20.7
27,C,63.1,14.6,22.5,26.8
30,PG,57.7,5.6,28.2,37.6
21,PF,50.5,9.1,45.5,25.6
25,PF,56.2,7.7,64.8,16.3
27,C,59.9,23.5,2,28.4
26,SF,56.4,10.6,26.2,33.3
22,C,72.8,17.7,0,38.6
20,SG,43.4,5.9,33.8,31.3
21,SG,44.4,7.2,59.4,14.8
26,C,52.5,17.7,5.6,19.4
22,PG,38.1,5.4,49,16.3
24,C,75.1,24.3,0,21.4
21,PF,56.3,13.8,37.7,36.8
23,SF,58.6,10.6,41.7,21.9
25,SG,55.2,7.7,62.1,28.3
29,PG,57.3,6.2,49.2,31.6
27,C,57.8,14.1,22.2,28.2
30,PG,62.6,7,45,26.7
21,PF,77.3,8.6,65.4,38.5
29,SF,50.4,7.2,48,16
22,C,71.3,19.2,3.2,19.4
25,PF,36.4,5.5,82.1,7.1
27,C,53.9,23.7,2.4,23.8
20,SG,46,3.7,20,20
26,SF,75,9.4,100,0
21,SG,0,18.7,0,0
24,C,79.8,18.7,0,200
26,C,0,0,0,0
22,PG,0,28.1,100,0
28,SF,60.6,7.3,51.8,11.4
26,SG,54.1,5.7,39.2,43.7
25,SF,49.7,10.6,58.3,12
21,C,66.4,18.7,1.3,58.1
33,SG,51.3,6.5,65.8,14.8
25,SG,51.4,7.4,30.1,26.9
31,C,68.2,23.5,0,42.5
24,SG,59.9,7.7,59.5,30.1
32,SF,53.1,10.2,66.1,12.6
21,PF,55.5,10.4,50.8,21.5
27,PG,59.5,8.1,34.1,24.5
20,SF,48.4,9.1,45.3,34.9
24,SG,37,7.7,51.6,10.3
24,PG,53.1,7.1,52.8,4.7
27,SF,62.7,8.7,39.4,38
29,SG,40.3,7.3,51.6,10.9
27,SG,55.2,6.4,45.6,22.8
20,PF,57.7,12.2,14.6,43.8
26,SF,35.2,10.2,76.3,10.5
23,PG,54.1,5.2,34,26.4
31,SF,48.5,6.9,56.5,17.4
22,PF,70.9,14,0,66.7
23,PF,14.3,20.7,57.1,0
39,SG,62.5,0,50,0
25,SG,48.2,8.6,28.8,34.2
33,SG,46.5,4,73.5,12.2
21,C,66,22.5,0,66.7
24,SG,49.8,5.8,66.1,20.3
27,SG,58.7,3.8,60.9,4.3
28,SF,66.6,14,52.2,17.4
24,PG,44.6,4.7,66.7,16.7
21,PF,52.7,11.3,40,10
20,SF,40.8,3.9,54.5,127.3
26,SF,69,14.4,91.7,33.3
23,PG,41.6,5.6,35.7,7.1
22,PF,51.8,12.6,0,80
31,SF,29.6,8.9,40,80
24,PG,53.7,5.2,60.7,24.2
25,PG,55.3,7,45,20.2
21,SF,52,9.9,39.8,17.4
21,PF,54.7,9.8,39,23.1
27,C,57.6,16.7,15.7,37.4
21,SG,53,7.3,41.8,20.5
27,C,57,16.3,0,54.3
24,SF,50.5,9.6,37.2,31.4
33,PF,59.3,7.4,55.7,23.8
24,SG,41.9,7.9,27.5,21.7
31,SF,46.3,10.8,60.5,12.3
25,C,57.6,19.5,15.8,42.4
24,SF,59.5,6.5,44,25
22,PF,57.4,12.1,34.3,24.3
